ID	PRICE	ORDI	ORGANIC	SPEC	CHOICE	MODE	EIO	EIS	EIOS	EIC	SEG2	SEG3	SEG4	SEG5	SEG1
1001	18	0	1	0	0	1	1	0	0	0	0	1	0	0	0
1001	6	1	0	0	0	1	1	0	0	0	0	1	0	0	0
1001	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
1002	2	0	0	1	1	1	1	0	0	0	0	1	0	0	0
1002	14	0	0	1	0	1	1	0	0	0	0	1	0	0	0
1002	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
1003	6	0	1	0	1	1	1	0	0	0	0	1	0	0	0
1003	18	0	0	1	0	1	1	0	0	0	0	1	0	0	0
1003	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
1004	10	1	0	0	0	1	1	0	0	0	0	1	0	0	0
1004	10	0	0	1	1	1	1	0	0	0	0	1	0	0	0
1004	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
1005	18	0	0	1	0	1	1	0	0	0	0	1	0	0	0
1005	10	1	0	0	0	1	1	0	0	0	0	1	0	0	0
1005	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
1006	14	0	0	1	1	1	1	0	0	0	0	1	0	0	0
1006	18	0	1	0	0	1	1	0	0	0	0	1	0	0	0
1006	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
1007	6	1	0	0	0	1	1	0	0	0	0	1	0	0	0
1007	6	0	1	0	1	1	1	0	0	0	0	1	0	0	0
1007	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
1008	10	0	0	1	0	1	1	0	0	0	0	1	0	0	0
1008	2	0	0	1	1	1	1	0	0	0	0	1	0	0	0
1008	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2001	18	0	1	0	0	1	1	0	0	0	0	1	0	0	0
2001	6	1	0	0	1	1	1	0	0	0	0	1	0	0	0
2001	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2002	2	0	0	1	1	1	1	0	0	0	0	1	0	0	0
2002	14	0	0	1	0	1	1	0	0	0	0	1	0	0	0
2002	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2003	6	0	1	0	1	1	1	0	0	0	0	1	0	0	0
2003	18	0	0	1	0	1	1	0	0	0	0	1	0	0	0
2003	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2004	10	1	0	0	0	1	1	0	0	0	0	1	0	0	0
2004	10	0	0	1	1	1	1	0	0	0	0	1	0	0	0
2004	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2005	18	0	0	1	0	1	1	0	0	0	0	1	0	0	0
2005	10	1	0	0	1	1	1	0	0	0	0	1	0	0	0
2005	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2006	14	0	0	1	1	1	1	0	0	0	0	1	0	0	0
2006	18	0	1	0	0	1	1	0	0	0	0	1	0	0	0
2006	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2007	6	1	0	0	0	1	1	0	0	0	0	1	0	0	0
2007	6	0	1	0	1	1	1	0	0	0	0	1	0	0	0
2007	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2008	10	0	0	1	0	1	1	0	0	0	0	1	0	0	0
2008	2	0	0	1	1	1	1	0	0	0	0	1	0	0	0
2008	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
3001	18	0	1	0	0	1	1	0	0	0	0	0	0	1	0
3001	6	1	0	0	1	1	1	0	0	0	0	0	0	1	0
3001	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
3002	2	0	0	1	1	1	1	0	0	0	0	0	0	1	0
3002	14	0	0	1	0	1	1	0	0	0	0	0	0	1	0
3002	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
3003	6	0	1	0	1	1	1	0	0	0	0	0	0	1	0
3003	18	0	0	1	0	1	1	0	0	0	0	0	0	1	0
3003	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
3004	10	1	0	0	0	1	1	0	0	0	0	0	0	1	0
3004	10	0	0	1	0	1	1	0	0	0	0	0	0	1	0
3004	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0
3005	18	0	0	1	0	1	1	0	0	0	0	0	0	1	0
3005	10	1	0	0	0	1	1	0	0	0	0	0	0	1	0
3005	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0
3006	14	0	0	1	0	1	1	0	0	0	0	0	0	1	0
3006	18	0	1	0	0	1	1	0	0	0	0	0	0	1	0
