ID	PRICE	ORDI	ORGANIC	SPEC	CHOICE	MODE	EIO	EIS	EIOS	EIC	SEG2	SEG3	SEG4	SEG5	SEG1
1001	7	0	0	1	0	1	1	0	0	0	0	1	0	0	0
1001	3	0	0	1	1	1	1	0	0	0	0	1	0	0	0
1001	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
1002	11	0	1	0	0	1	1	0	0	0	0	1	0	0	0
1002	7	0	0	1	1	1	1	0	0	0	0	1	0	0	0
1002	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
1003	19	0	1	0	0	1	1	0	0	0	0	1	0	0	0
1003	19	1	0	0	0	1	1	0	0	0	0	1	0	0	0
1003	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
1004	3	0	0	1	1	1	1	0	0	0	0	1	0	0	0
1004	15	0	1	0	0	1	1	0	0	0	0	1	0	0	0
1004	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
1005	3	1	0	0	0	1	1	0	0	0	0	1	0	0	0
1005	11	0	0	1	0	1	1	0	0	0	0	1	0	0	0
1005	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
1006	11	0	0	1	1	1	1	0	0	0	0	1	0	0	0
1006	19	0	1	0	0	1	1	0	0	0	0	1	0	0	0
1006	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
1007	15	0	1	0	0	1	1	0	0	0	0	1	0	0	0
1007	3	1	0	0	1	1	1	0	0	0	0	1	0	0	0
1007	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
1008	19	1	0	0	0	1	1	0	0	0	0	1	0	0	0
1008	11	0	1	0	1	1	1	0	0	0	0	1	0	0	0
1008	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2001	7	0	0	1	0	1	1	0	0	0	0	1	0	0	0
2001	3	0	0	1	1	1	1	0	0	0	0	1	0	0	0
2001	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2002	11	0	1	0	0	1	1	0	0	0	0	1	0	0	0
2002	7	0	0	1	1	1	1	0	0	0	0	1	0	0	0
2002	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2003	19	0	1	0	1	1	1	0	0	0	0	1	0	0	0
2003	19	1	0	0	0	1	1	0	0	0	0	1	0	0	0
