respondent_id,resp_num,country,china,japan,task_id,choice_alt,eio,eis,eios,eic,seg1,seg2,seg3,seg4,seg5,price_1,price_2,price_3,ordi_1,ordi_2,ordi_3,organic_1,organic_2,organic_3,spec_1,spec_2,spec_3,mode_1,mode_2,mode_3,choice,price_cn_1,price_cn_2,price_cn_3,price_jp_1,price_jp_2,price_jp_3
China_1,1,China,1,0,China_1001,2,1,0,0,0,0,0,1,0,0,7,3,0,0,0,0,0,0,0,1,1,0,1,1,0,2,7,3,0,0,0,0
China_1,1,China,1,0,China_1002,2,1,0,0,0,0,0,1,0,0,11,7,0,0,0,0,1,0,0,0,1,0,1,1,0,2,11,7,0,0,0,0
China_1,1,China,1,0,China_1003,3,1,0,0,0,0,0,1,0,0,19,19,0,0,1,0,1,0,0,0,0,0,1,1,0,3,19,19,0,0,0,0
China_1,1,China,1,0,China_1004,1,1,0,0,0,0,0,1,0,0,3,15,0,0,0,0,0,1,0,1,0,0,1,1,0,1,3,15,0,0,0,0
China_1,1,China,1,0,China_1005,3,1,0,0,0,0,0,1,0,0,3,11,0,1,0,0,0,0,0,0,1,0,1,1,0,3,3,11,0,0,0,0
China_1,1,China,1,0,China_1006,1,1,0,0,0,0,0,1,0,0,11,19,0,0,0,0,0,1,0,1,0,0,1,1,0,1,11,19,0,0,0,0
China_1,1,China,1,0,China_1007,2,1,0,0,0,0,0,1,0,0,15,3,0,0,1,0,1,0,0,0,0,0,1,1,0,2,15,3,0,0,0,0
China_1,1,China,1,0,China_1008,2,1,0,0,0,0,0,1,0,0,19,11,0,1,0,0,0,1,0,0,0,0,1,1,0,2,19,11,0,0,0,0
China_10,10,China,1,0,China_10001,2,1,0,0,0,0,0,0,0,1,7,3,0,0,0,0,0,0,0,1,1,0,1,1,0,2,7,3,0,0,0,0
China_10,10,China,1,0,China_10002,2,1,0,0,0,0,0,0,0,1,11,7,0,0,0,0,1,0,0,0,1,0,1,1,0,2,11,7,0,0,0,0
China_10,10,China,1,0,China_10003,3,1,0,0,0,0,0,0,0,1,19,19,0,0,1,0,1,0,0,0,0,0,1,1,0,3,19,19,0,0,0,0
China_10,10,China,1,0,China_10004,1,1,0,0,0,0,0,0,0,1,3,15,0,0,0,0,0,1,0,1,0,0,1,1,0,1,3,15,0,0,0,0
China_10,10,China,1,0,China_10005,1,1,0,0,0,0,0,0,0,1,3,11,0,1,0,0,0,0,0,0,1,0,1,1,0,1,3,11,0,0,0,0
China_10,10,China,1,0,China_10006,3,1,0,0,0,0,0,0,0,1,11,19,0,0,0,0,0,1,0,1,0,0,1,1,0,3,11,19,0,0,0,0
China_10,10,China,1,0,China_10007,2,1,0,0,0,0,0,0,0,1,15,3,0,0,1,0,1,0,0,0,0,0,1,1,0,2,15,3,0,0,0,0
China_10,10,China,1,0,China_10008,3,1,0,0,0,0,0,0,0,1,19,11,0,1,0,0,0,1,0,0,0,0,1,1,0,3,19,11,0,0,0,0
China_100,100,China,1,0,China_100001,2,1,0,0,0,0,0,0,0,1,7,3,0,0,0,0,0,0,0,1,1,0,1,1,0,2,7,3,0,0,0,0
China_100,100,China,1,0,China_100002,2,1,0,0,0,0,0,0,0,1,11,7,0,0,0,0,1,0,0,0,1,0,1,1,0,2,11,7,0,0,0,0
China_100,100,China,1,0,China_100003,3,1,0,0,0,0,0,0,0,1,19,19,0,0,1,0,1,0,0,0,0,0,1,1,0,3,19,19,0,0,0,0
China_100,100,China,1,0,China_100004,1,1,0,0,0,0,0,0,0,1,3,15,0,0,0,0,0,1,0,1,0,0,1,1,0,1,3,15,0,0,0,0
China_100,100,China,1,0,China_100005,2,1,0,0,0,0,0,0,0,1,3,11,0,1,0,0,0,0,0,0,1,0,1,1,0,2,3,11,0,0,0,0
China_100,100,China,1,0,China_100006,1,1,0,0,0,0,0,0,0,1,11,19,0,0,0,0,0,1,0,1,0,0,1,1,0,1,11,19,0,0,0,0
China_100,100,China,1,0,China_100007,3,1,0,0,0,0,0,0,0,1,15,3,0,0,1,0,1,0,0,0,0,0,1,1,0,3,15,3,0,0,0,0
China_100,100,China,1,0,China_100008,2,1,0,0,0,0,0,0,0,1,19,11,0,1,0,0,0,1,0,0,0,0,1,1,0,2,19,11,0,0,0,0
China_101,101,China,1,0,China_101001,1,1,0,0,0,1,0,0,0,0,7,3,0,0,0,0,0,0,0,1,1,0,1,1,0,1,7,3,0,0,0,0
China_101,101,China,1,0,China_101002,3,1,0,0,0,1,0,0,0,0,11,7,0,0,0,0,1,0,0,0,1,0,1,1,0,3,11,7,0,0,0,0
China_101,101,China,1,0,China_101003,3,1,0,0,0,1,0,0,0,0,19,19,0,0,1,0,1,0,0,0,0,0,1,1,0,3,19,19,0,0,0,0
China_101,101,China,1,0,China_101004,2,1,0,0,0,1,0,0,0,0,3,15,0,0,0,0,0,1,0,1,0,0,1,1,0,2,3,15,0,0,0,0
China_101,101,China,1,0,China_101005,2,1,0,0,0,1,0,0,0,0,3,11,0,1,0,0,0,0,0,0,1,0,1,1,0,2,3,11,0,0,0,0
China_101,101,China,1,0,China_101006,1,1,0,0,0,1,0,0,0,0,11,19,0,0,0,0,0,1,0,1,0,0,1,1,0,1,11,19,0,0,0,0
